"annee","etablissement","academie","domaine","discipline","situation","nombre_de_reponses","taux_de_reponse","poids_de_la_discipline","taux_dinsertion","emplois_cadre_ou_professions_intermediaires","emplois_stables","emplois_a_temps_plein","salaire_net_median_des_emplois_a_temps_plein","salaire_brut_annuel_estime","de_diplomes_boursiers","taux_de_chomage_regional","salaire_net_mensuel_median_regional","emplois_cadre","emplois_exterieurs_a_la_region_de_luniversite","femmes","salaire_net_mensuel_regional_1er_quartile","salaire_net_mensuel_regional_3eme_quartile"
2012,"Lyon 3 - Jean Moulin","Lyon","Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion","18 mois après le diplôme",530,71,74,"86","88","66","98","1930","30200",25,"8.9","1780","57","43","54","1430","2130"
2012,"Lyon 3 - Jean Moulin","Lyon","Lettres, langues, arts","Lettres, langues, arts","18 mois après le diplôme",83,73,11,"86","69","58","91","1610","25200",25,"8.9","1780","34","41","86","1430","2130"
2012,"Paris-Est Marne-la-Vallée","Créteil","Sciences, technologies et santé","Ensemble sciences, technologies et santé","18 mois après le diplôme",173,77,33,"84","91","80","100","2030","31700",12,"9","2020","75","22","33","1580","2530"
2012,"Montpellier 3 - Paul-Valéry","Montpellier","Sciences humaines et sociales","Autres sciences humaines et sociales","18 mois après le diplôme",91,67,28,"70","69","36","84","1440","22400",50,"14.3","1680","31","61","68","1310","2010"
2012,"Nantes","Nantes","Droit, économie et gestion","Gestion","18 mois après le diplôme",122,57,25,"94","82","70","98","1940","30200",31,"9","1710","51","53","52","1400","2010"
2012,"Orléans","Orléans-Tours","Sciences, technologies et santé","Ensemble sciences, technologies et santé","18 mois après le diplôme",87,74,23,"76","96","63","97","2000","31200",27,"9.8","1780","77","65","40","1460","2110"
2012,"Paris 1 - Panthéon Sorbonne","Paris","Lettres, langues, arts","Lettres, langues, arts","18 mois après le diplôme",96,77,11,"82","80","53","81","1510","23500",18,"9","2020","37","32","77","1580","2530"
2012,"Paris Ouest Nanterre La Défense","Versailles","Sciences humaines et sociales","Information communication","18 mois après le diplôme",43,70,8,"91","70","54","90","1500","23400",23,"9","2020","21","7","90","1580","2530"
2012,"Paris-Est Créteil","Créteil","Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion","18 mois après le diplôme",357,68,63,"90","80","63","98","2060","32100",22,"9","2020","60","15","63","1580","2530"
2012,"Paris-Est Créteil","Créteil","Droit, économie et gestion","Gestion","18 mois après le diplôme",167,66,29,"94","90","74","99","2250","35100",22,"9","2020","78","19","54","1580","2530"
2012,"Paris-Est Créteil","Créteil","Droit, économie et gestion","Autres formations juridiques, économiques et de gestion","18 mois après le diplôme",118,65,21,"84","64","45","95","1700","26500",22,"9","2020","29","12","72","1580","2530"
2012,"Paris-Est Créteil","Créteil","Sciences humaines et sociales","Ensemble sciences humaines et sociales","18 mois après le diplôme",115,78,18,"91","80","55","96","1890","29400",22,"9","2020","65","12","65","1580","2530"
2012,"Paris 13 - Paris Nord","Créteil","Sciences humaines et sociales","Information communication","18 mois après le diplôme",51,48,20,"86","58","44","86","1680","26200",30,"9","2020","41","17","74","1580","2530"
2012,"Paris 13 - Paris Nord","Créteil","Sciences humaines et sociales","Autres sciences humaines et sociales","18 mois après le diplôme",32,69,12,"91","","","","","",30,"9","2020","","","68","1580","2530"
2012,"Paris 2 - Panthéon Assas","Paris","Sciences humaines et sociales","Ensemble sciences humaines et sociales","18 mois après le diplôme",35,63,12,"82","","","","","",9,"9","2020","","","65","1580","2530"
2012,"Paris 4 - Sorbonne","Paris","Sciences humaines et sociales","Ensemble sciences humaines et sociales","18 mois après le diplôme",199,57,67,"83","92","69","96","1960","30500",18,"9","2020","79","18","67","1580","2530"
2012,"Paris 4 - Sorbonne","Paris","Sciences humaines et sociales","Information communication","18 mois après le diplôme",125,52,42,"84","94","70","96","1990","31000",18,"9","2020","81","14","71","1580","2530"
2012,"Paris René Descartes","Paris","Droit, économie et gestion","Gestion","18 mois après le diplôme",32,70,10,"93","","","","","",16,"9","2020","","6","56","1580","2530"
2012,"Paris René Descartes","Paris","Sciences humaines et sociales","Psychologie","18 mois après le diplôme",103,75,28,"80","92","51","55","1500","23400",16,"9","2020","81","26","93","1580","2530"
2012,"Paris René Descartes","Paris","Sciences humaines et sociales","Autres sciences humaines et sociales","18 mois après le diplôme",80,73,22,"91","90","53","94","1750","27300",16,"9","2020","62","19","83","1580","2530"
2012,"Paris Pierre et Marie Curie","Paris","Sciences, technologies et santé","Sciences de l'ingénieur","18 mois après le diplôme",54,62,18,"92","100","92","100","2100","32800",22,"9","2020","100","24","17","1580","2530"
2012,"Paris 8 - Vincennes Saint-Denis","Créteil","Sciences humaines et sociales","Ensemble sciences humaines et sociales","18 mois après le diplôme",118,51,61,"85","90","52","72","1700","26500",29,"9","2020","62","24","74","1580","2530"
2012,"Poitiers","Poitiers","Sciences humaines et sociales","Psychologie","18 mois après le diplôme",38,74,5,"82","90","42","48","","",39,"9.6","","83","60","97","1380","1980"
2012,"Reims - Champagne Ardenne","Reims","Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion","18 mois après le diplôme",128,65,39,"90","60","58","94","1680","26200",42,"11","1780","41","36","54","1460","2100"
2012,"Reims - Champagne Ardenne","Reims","Droit, économie et gestion","Droit","18 mois après le diplôme",31,59,10,"","","","","","",42,"11","1780","","","58","1460","2100"
2012,"Reims - Champagne Ardenne","Reims","Sciences, technologies et santé","Sciences de l'ingénieur","18 mois après le diplôme",49,65,14,"94","95","69","91","1800","28100",42,"11","1780","75","64","30","1460","2100"
2012,"Rennes 1","Rennes","Sciences, technologies et santé","Sciences de la vie et de la terre","18 mois après le diplôme",107,86,17,"73","88","35","95","1500","23400",28,"9","1700","66","68","60","1380","2020"
2012,"Rennes 1","Rennes","Sciences, technologies et santé","Informatique","18 mois après le diplôme",69,82,11,"99","100","97","100","1880","29300",28,"9","1700","98","41","8","1380","2020"
2012,"Rennes 2 - Haute Bretagne","Rennes","Sciences humaines et sociales","Ensemble sciences humaines et sociales","18 mois après le diplôme",189,80,49,"74","85","33","76","1500","23400",45,"9","1700","53","62","71","1380","2020"
2012,"Rennes 2 - Haute Bretagne","Rennes","Sciences, technologies et santé","Autres sciences, technologies et santé","18 mois après le diplôme",33,84,8,"84","","","","","",45,"9","1700","","","39","1380","2020"
2012,"Rouen","Rouen","Droit, économie et gestion","Gestion","18 mois après le diplôme",89,80,22,"86","65","70","100","1770","27500",37,"11.1","1800","28","54","64","1460","2120"
2012,"Rouen","Rouen","Lettres, langues, arts","Lettres, langues, arts","18 mois après le diplôme",39,58,13,"70","","","","","",37,"11.1","1800","","51","92","1460","2120"
2011,"Le Havre","Rouen","Droit, économie et gestion","Gestion","30 mois après le diplôme",67,50,50,"91","73","84","98","2000","31200",32,"10.9","1770","42","64","60","",""
2011,"Le Mans - Maine","Nantes","Sciences humaines et sociales","Histoire-géographie","30 mois après le diplôme",40,96,14,"78","63","38","63","","",31,"8.5","1690","35","54","80","",""
2011,"Le Mans - Maine","Nantes","Sciences, technologies et santé","Sciences fondamentales","30 mois après le diplôme",30,84,12,"100","","76","97","","",31,"8.5","1690","","70","","",""
2011,"Lille 1 - Sciences technologies","Lille","Droit, économie et gestion","Gestion","30 mois après le diplôme",357,81,40,"92","95","85","97","1950","30400",22,"12.8","1750","63","40","59","",""
2011,"Lille 1 - Sciences technologies","Lille","Sciences, technologies et santé","Ensemble sciences, technologies et santé","30 mois après le diplôme",268,89,27,"92","98","83","96","1970","30700",22,"12.8","1750","80","40","36","",""
2011,"Lille 1 - Sciences technologies","Lille","Sciences, technologies et santé","Sciences de la vie et de la terre","30 mois après le diplôme",56,90,5,"88","92","59","86","1700","26500",22,"12.8","1750","66","43","62","",""
2011,"Lille 1 - Sciences technologies","Lille","Sciences, technologies et santé","Sciences fondamentales","30 mois après le diplôme",60,87,6,"88","98","89","100","1930","30200",22,"12.8","1750","77","62","50","",""
2011,"Aix-Marseille","Aix-Marseille","Sciences, technologies et santé","Sciences de la vie et de la terre","30 mois après le diplôme",142,79,8,"84","88","65","93","1750","27300",29,"11.2","1730","57","51","56","",""
2011,"Aix-Marseille","Aix-Marseille","Sciences, technologies et santé","Sciences de l'ingénieur","30 mois après le diplôme",70,73,4,"90","84","84","97","2040","31900",29,"11.2","1730","68","40","51","",""
2011,"Aix-Marseille","Aix-Marseille","Sciences, technologies et santé","Autres sciences, technologies et santé","30 mois après le diplôme",73,76,4,"90","91","73","91","1900","29600",29,"11.2","1730","62","45","58","",""
2011,"Aix-Marseille","Aix-Marseille","Masters enseignement","Masters enseignement : premier degré","30 mois après le diplôme",222,77,12,"93","72","73","87","1650","25800",29,"11.2","1730","53","21","94","",""
2011,"Amiens - Picardie Jules-Verne","Amiens","Sciences humaines et sociales","Information communication","30 mois après le diplôme",52,63,11,"100","96","90","98","2230","34800",32,"11.5","1830","81","84","15","",""
2011,"Angers","Nantes","Droit, économie et gestion","Gestion","30 mois après le diplôme",61,66,11,"93","88","86","100","2190","34200",34,"8.5","1690","61","67","59","",""
2011,"Angers","Nantes","Sciences humaines et sociales","Psychologie","30 mois après le diplôme",36,67,6,"97","100","57","66","","",34,"8.5","1690","97","83","92","",""
2011,"Angers","Nantes","Masters enseignement","Masters enseignement","30 mois après le diplôme",75,75,12,"97","89","74","89","1700","26500",34,"8.5","1690","76","28","76","",""
2011,"Angers","Nantes","Masters enseignement","Masters enseignement : premier degré","30 mois après le diplôme",42,74,7,"95","85","65","88","1640","25600",34,"8.5","1690","70","20","81","",""
2011,"Artois","Lille","Masters enseignement","Masters enseignement","30 mois après le diplôme",454,80,68,"96","88","69","84","1650","25700",37,"12.8","1750","68","13","84","",""
2011,"Avignon","Aix-Marseille","Sciences, technologies et santé","Ensemble sciences, technologies et santé","30 mois après le diplôme",47,72,28,"85","100","82","97","","",37,"11.2","1730","92","60","28","",""
2012,"Montpellier","Montpellier","Sciences, technologies et santé","Ensemble sciences, technologies et santé","18 mois après le diplôme",336,74,41,"87","91","51","93","1700","26500",36,"14.3","1680","58","97","56","1310","2010"
2012,"Aix-Marseille","Aix-Marseille","Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion","18 mois après le diplôme",563,68,44,"85","79","61","93","1770","27600",29,"11.7","1790","50","46","61","1390","2170"
2012,"Aix-Marseille","Aix-Marseille","Droit, économie et gestion","Gestion","18 mois après le diplôme",321,66,25,"88","82","63","96","1830","28600",29,"11.7","1790","52","45","58","1390","2170"
2012,"Aix-Marseille","Aix-Marseille","Sciences, technologies et santé","Informatique","18 mois après le diplôme",38,84,3,"87","100","97","100","","",29,"11.7","1790","94","21","10","1390","2170"
2012,"Amiens - Picardie Jules-Verne","Amiens","Sciences humaines et sociales","Ensemble sciences humaines et sociales","18 mois après le diplôme",108,61,35,"92","82","53","84","1700","26500",32,"11.7","1790","62","58","60","1460","2080"
2012,"Amiens - Picardie Jules-Verne","Amiens","Sciences humaines et sociales","Psychologie","18 mois après le diplôme",41,78,13,"98","85","44","68","","",32,"11.7","1790","72","57","85","1460","2080"
2012,"Angers","Nantes","Sciences, technologies et santé","Ensemble sciences, technologies et santé","18 mois après le diplôme",144,73,27,"89","84","53","97","1700","26500",38,"9","1710","51","69","50","1400","2010"
2012,"Angers","Nantes","Sciences, technologies et santé","Autres sciences, technologies et santé","18 mois après le diplôme",33,65,6,"91","","","","","",38,"9","1710","","66","78","1400","2010"
2012,"Antilles-Guyane","Guadeloupe","Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion","18 mois après le diplôme",47,73,54,"88","62","29","90","1700","26400",46,"","","35","","80","",""
2012,"Artois","Lille","Sciences humaines et sociales","Ensemble sciences humaines et sociales","18 mois après le diplôme",42,77,20,"71","63","28","81","","",38,"13","1780","34","31","73","1450","2080"
2012,"Bordeaux","Bordeaux","Droit, économie et gestion","Droit","18 mois après le diplôme",82,74,10,"83","61","53","95","1600","25000",28,"10","1710","37","45","76","1360","2030"
2012,"Caen - Basse-Normandie","Caen","Lettres, langues, arts","Lettres, langues, arts","18 mois après le diplôme",44,60,11,"93","77","32","71","","",26,"9.3","1720","65","59","81","1400","2010"
2012,"Cergy-Pontoise","Versailles","Droit, économie et gestion","Gestion","18 mois après le diplôme",68,62,22,"91","92","81","100","2170","33800",16,"9","2020","78","6","59","1580","2530"
2012,"Cergy-Pontoise","Versailles","Lettres, langues, arts","Lettres, langues, arts","18 mois après le diplôme",33,64,9,"90","","","","","",16,"9","2020","","26","64","1580","2530"
2012,"Cergy-Pontoise","Versailles","Sciences, technologies et santé","Ensemble sciences, technologies et santé","18 mois après le diplôme",101,65,29,"91","90","79","98","2020","31500",16,"9","2020","69","19","33","1580","2530"
2012,"Chambéry - Savoie","Grenoble","Sciences humaines et sociales","Psychologie","18 mois après le diplôme",49,98,10,"88","87","35","60","","",33,"8.9","1780","76","56","93","1430","2130"
2012,"Clermont-Ferrand 1 - Auvergne","Clermont-Ferrand","Droit, économie et gestion","Autres formations juridiques, économiques et de gestion","18 mois après le diplôme",78,78,43,"94","85","73","94","2060","32100",33,"8.9","1740","47","58","58","1400","2020"
2012,"Clermont-Ferrand 2 - Blaise Pascal","Clermont-Ferrand","Lettres, langues, arts","Lettres, langues, arts","18 mois après le diplôme",30,75,10,"91","","","","","",41,"8.9","1740","","","90","1400","2020"
2012,"Clermont-Ferrand 2 - Blaise Pascal","Clermont-Ferrand","Sciences humaines et sociales","Histoire-géographie","18 mois après le diplôme",43,85,13,"83","","25","84","","",41,"8.9","1740","","48","64","1400","2020"
2012,"Clermont-Ferrand 2 - Blaise Pascal","Clermont-Ferrand","Sciences, technologies et santé","Sciences de la vie et de la terre","18 mois après le diplôme",40,79,14,"82","","50","94","","",41,"8.9","1740","","75","55","1400","2020"
2012,"Dijon - Bourgogne","Dijon","Sciences humaines et sociales","Autres sciences humaines et sociales","18 mois après le diplôme",36,65,7,"84","73","29","90","","",47,"9.3","1750","30","37","77","1410","2030"
2012,"Dijon - Bourgogne","Dijon","Sciences, technologies et santé","Sciences fondamentales","18 mois après le diplôme",44,63,9,"81","97","68","97","1850","28800",47,"9.3","1750","58","72","50","1410","2030"
2012,"Evry Val-d'Essonne","Versailles","Droit, économie et gestion","Droit","18 mois après le diplôme",31,64,11,"","","","","","",17,"9","2020","","","77","1580","2530"
2012,"Grenoble 3 - Stendhal","Grenoble","Lettres, langues, arts","Lettres, langues, arts","18 mois après le diplôme",73,80,56,"80","67","46","80","1370","21300",30,"8.9","1780","40","35","86","1430","2130"
2012,"La Rochelle","Poitiers","Droit, économie et gestion","Gestion","18 mois après le diplôme",48,83,20,"83","93","72","100","","",50,"9.6","1710","42","59","54","1380","1980"
2012,"La Réunion","La Réunion","Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion","18 mois après le diplôme",80,61,53,"79","53","44","88","1750","27300",42,"","","12","2","74","",""
2012,"Le Mans - Maine","Nantes","Sciences, technologies et santé","Ensemble sciences, technologies et santé","18 mois après le diplôme",37,83,26,"97","92","67","89","1750","27300",30,"9","1710","58","72","37","1400","2010"
2012,"Lille 1 - Sciences technologies","Lille","Sciences humaines et sociales","Autres sciences humaines et sociales","18 mois après le diplôme",99,92,12,"79","82","31","91","1600","25000",27,"13","1780","44","40","63","1450","2080"
2012,"Lille 1 - Sciences technologies","Lille","Sciences, technologies et santé","Informatique","18 mois après le diplôme",83,92,10,"95","100","99","99","2000","31200",27,"13","1780","92","11","6","1450","2080"
2012,"Littoral - Côte d'Opale","Lille","Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion","18 mois après le diplôme",258,60,71,"88","75","59","97","1730","27000",20,"13","1780","32","63","55","1450","2080"
2012,"Lorraine","Nancy-Metz","Sciences humaines et sociales","Autres sciences humaines et sociales","18 mois après le diplôme",43,75,4,"82","62","43","80","","",30,"10.7","1760","41","26","51","1400","2050"
2012,"Lorraine","Nancy-Metz","Sciences, technologies et santé","Sciences de la vie et de la terre","18 mois après le diplôme",111,79,10,"84","89","42","93","1630","25400",30,"10.7","1760","55","73","65","1400","2050"
2012,"Lyon 1 - Claude Bernard","Lyon","Sciences, technologies et santé","Ensemble sciences, technologies et santé","18 mois après le diplôme",420,81,96,"88","91","64","94","1840","28600",28,"8.9","1780","66","47","42","1430","2130"
2012,"Lyon 1 - Claude Bernard","Lyon","Sciences, technologies et santé","Sciences de la vie et de la terre","18 mois après le diplôme",136,82,31,"84","89","40","95","1800","28100",28,"8.9","1780","59","47","66","1430","2130"
2012,"Lyon 2 - Lumière","Lyon","Sciences humaines et sociales","Ensemble sciences humaines et sociales","18 mois après le diplôme",308,74,47,"82","76","47","71","1520","23700",29,"8.9","1780","52","40","73","1430","2130"
2012,"Pau - Pays de l'Adour","Bordeaux","Droit, économie et gestion","Gestion","18 mois après le diplôme",68,87,25,"96","69","68","98","1640","25600",34,"10","1710","32","40","63","1360","2030"
2012,"Pau - Pays de l'Adour","Bordeaux","Sciences humaines et sociales","Autres sciences humaines et sociales","18 mois après le diplôme",33,89,12,"69","","","","","",34,"10","1710","","","57","1360","2030"
2012,"Perpignan","Montpellier","Droit, économie et gestion","Droit","18 mois après le diplôme",39,49,30,"78","69","75","97","","",40,"14.3","1680","34","68","69","1310","2010"
2012,"Poitiers","Poitiers","Droit, économie et gestion","Économie","18 mois après le diplôme",32,64,8,"87","","","","","",39,"9.6","","","","53","1380","1980"
2012,"Poitiers","Poitiers","Sciences, technologies et santé","Autres sciences, technologies et santé","18 mois après le diplôme",40,69,5,"76","94","71","97","","",39,"9.6","","67","78","27","1380","1980"
2012,"Reims - Champagne Ardenne","Reims","Droit, économie et gestion","Gestion","18 mois après le diplôme",75,69,23,"92","60","69","95","1730","27000",42,"11","1780","38","34","50","1460","2100"
2012,"Reims - Champagne Ardenne","Reims","Sciences humaines et sociales","Ensemble sciences humaines et sociales","18 mois après le diplôme",68,83,16,"85","87","39","80","1500","23400",42,"11","1780","53","54","66","1460","2100"
2012,"Rennes 1","Rennes","Droit, économie et gestion","Gestion","18 mois après le diplôme",231,74,41,"92","86","73","99","1950","30400",28,"9","1700","59","61","61","1380","2020"
2012,"Rennes 2 - Haute Bretagne","Rennes","Sciences humaines et sociales","Psychologie","18 mois après le diplôme",63,81,16,"80","84","27","53","","",45,"9","1700","76","63","88","1380","2020"
2012,"Rennes 2 - Haute Bretagne","Rennes","Sciences humaines et sociales","Autres sciences humaines et sociales","18 mois après le diplôme",72,84,19,"71","93","39","89","1540","24000",45,"9","1700","46","64","54","1380","2020"
2012,"Rouen","Rouen","Sciences humaines et sociales","Ensemble sciences humaines et sociales","18 mois après le diplôme",67,72,18,"70","60","43","76","1500","23400",37,"11.1","1800","34","37","80","1460","2120"
2012,"Saint-Etienne - Jean Monnet","Lyon","Sciences humaines et sociales","Autres sciences humaines et sociales","18 mois après le diplôme",38,79,14,"79","80","40","","","",31,"8.9","1780","40","22","71","1430","2130"
2012,"Strasbourg","Strasbourg","Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion","18 mois après le diplôme",316,76,40,"92","81","62","97","1790","27900",23,"9.3","1760","55","52","59","1430","2080"
2012,"Strasbourg","Strasbourg","Sciences humaines et sociales","Information communication","18 mois après le diplôme",35,83,4,"89","93","26","","","",23,"9.3","1760","66","87","71","1430","2080"
2012,"Strasbourg","Strasbourg","Sciences, technologies et santé","Sciences de la vie et de la terre","18 mois après le diplôme",70,84,8,"85","91","36","95","1720","26900",23,"9.3","1760","62","54","55","1430","2080"
2012,"Strasbourg","Strasbourg","Sciences, technologies et santé","Sciences de l'ingénieur","18 mois après le diplôme",65,73,8,"85","94","63","96","2050","32000",23,"9.3","1760","77","55","30","1430","2080"
2012,"Toulon - Sud Toulon Var","Nice","Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion","18 mois après le diplôme",77,73,43,"81","67","54","92","1530","23800",40,"11.7","1790","21","23","74","1390","2170"
2012,"Toulon - Sud Toulon Var","Nice","Sciences humaines et sociales","Ensemble sciences humaines et sociales","18 mois après le diplôme",57,67,35,"97","85","73","93","1800","28100",40,"11.7","1790","40","72","43","1390","2170"
2012,"Toulouse 1 - Capitole","Toulouse","Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion","18 mois après le diplôme",442,77,89,"85","76","65","94","1800","28100",26,"10.5","1760","47","50","62","1420","2090"
2012,"Toulouse 1 - Capitole","Toulouse","Droit, économie et gestion","Droit","18 mois après le diplôme",144,77,29,"85","69","58","91","1680","26300",26,"10.5","1760","40","48","76","1420","2090"
2012,"Toulouse 1 - Capitole","Toulouse","Sciences, technologies et santé","Ensemble sciences, technologies et santé","18 mois après le diplôme",46,86,8,"93","100","93","98","1940","30300",26,"10.5","1760","97","15","19","1420","2090"
2012,"Toulouse - Jean Jaures","Toulouse","Sciences humaines et sociales","Ensemble sciences humaines et sociales","18 mois après le diplôme",189,75,56,"75","73","44","63","1460","22800",37,"10.5","1760","57","47","85","1420","2090"
2012,"Toulouse - Jean Jaures","Toulouse","Sciences humaines et sociales","Psychologie","18 mois après le diplôme",91,79,27,"79","87","46","47","1550","24200",37,"10.5","1760","80","51","94","1420","2090"
2012,"Toulouse 3 - Paul Sabatier","Toulouse","Sciences, technologies et santé","Sciences de l'ingénieur","18 mois après le diplôme",179,88,28,"91","99","83","100","1960","30600",40,"10.5","1760","86","25","19","1420","2090"
2012,"Tours - François Rabelais","Orléans-Tours","Droit, économie et gestion","Gestion","18 mois après le diplôme",97,72,24,"83","80","71","96","1840","28700",27,"9.8","1780","48","63","47","1460","2110"
2012,"Versailles Saint-Quentin-en-Yvelines","Versailles","Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion","18 mois après le diplôme",271,60,65,"91","83","58","95","1940","30200",11,"9","2020","56","21","69","1580","2530"
2012,"Versailles Saint-Quentin-en-Yvelines","Versailles","Droit, économie et gestion","Gestion","18 mois après le diplôme",124,54,30,"93","87","66","98","1930","30100",11,"9","2020","55","15","70","1580","2530"
2012,"Versailles Saint-Quentin-en-Yvelines","Versailles","Sciences, technologies et santé","Ensemble sciences, technologies et santé","18 mois après le diplôme",107,63,25,"85","96","70","98","2150","33500",11,"9","2020","84","30","41","1580","2530"
2012,"Versailles Saint-Quentin-en-Yvelines","Versailles","Sciences, technologies et santé","Informatique","18 mois après le diplôme",36,58,8,"97","97","91","100","","",11,"9","2020","97","15","8","1580","2530"
2012,"Aix-Marseille","Aix-Marseille","Masters enseignement","Masters enseignement","18 mois après le diplôme",179,79,100,"96","88","82","88","1700","26500",34,"11.7","1790","74","37","83","1390","2170"
2012,"Orléans","Orléans-Tours","Masters enseignement","Masters enseignement","18 mois après le diplôme",113,69,100,"97","89","78","88","1640","25600",42,"9.8","1780","79","27","83","1460","2110"
2012,"Paris 4 - Sorbonne","Paris","Masters enseignement","Masters enseignement","18 mois après le diplôme",125,57,100,"98","98","92","95","1700","26500",31,"9","2020","95","6","93","1580","2530"
2012,"Paris René Descartes","Paris","Masters enseignement","Masters enseignement","18 mois après le diplôme",49,62,100,"100","94","81","91","1760","27500",25,"9","2020","85","6","84","1580","2530"
2012,"Montpellier","Montpellier","Droit, économie et gestion","Gestion","30 mois après le diplôme",182,63,26,"90","83","76","98","2000","31200",36,"14.3","1680","51","96","53","1310","2010"
2012,"Aix-Marseille","Aix-Marseille","Droit, économie et gestion","Gestion","30 mois après le diplôme",321,66,25,"93","83","78","95","1960","30500",29,"11.7","1790","57","45","58","1390","2170"
2012,"Aix-Marseille","Aix-Marseille","Sciences humaines et sociales","Autres sciences humaines et sociales","30 mois après le diplôme",65,79,5,"77","64","56","94","1560","24400",29,"11.7","1790","30","38","67","1390","2170"
2012,"Aix-Marseille","Aix-Marseille","Sciences, technologies et santé","Sciences de la vie et de la terre","30 mois après le diplôme",129,74,9,"80","87","59","93","1730","27000",29,"11.7","1790","56","49","55","1390","2170"
2012,"Aix-Marseille","Aix-Marseille","Sciences, technologies et santé","Informatique","30 mois après le diplôme",38,84,3,"89","100","100","97","","",29,"11.7","1790","100","21","10","1390","2170"
2012,"Angers","Nantes","Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion","30 mois après le diplôme",248,65,53,"87","64","76","94","1700","26500",38,"9","1710","31","66","70","1400","2010"
2012,"Angers","Nantes","Droit, économie et gestion","Gestion","30 mois après le diplôme",78,63,17,"94","58","77","100","1790","27900",38,"9","1710","32","50","55","1400","2010"
2012,"Angers","Nantes","Lettres, langues, arts","Lettres, langues, arts","30 mois après le diplôme",32,59,8,"88","","","","","",38,"9","1710","","","87","1400","2010"
2012,"Angers","Nantes","Sciences humaines et sociales","Psychologie","30 mois après le diplôme",31,79,6,"100","84","52","55","","",38,"9","1710","80","67","100","1400","2010"
2012,"Artois","Lille","Sciences humaines et sociales","Ensemble sciences humaines et sociales","30 mois après le diplôme",42,77,20,"76","75","38","75","","",38,"13","1780","37","31","73","1450","2080"
2012,"Artois","Lille","Sciences, technologies et santé","Ensemble sciences, technologies et santé","30 mois après le diplôme",67,80,31,"88","92","92","98","2000","31300",38,"13","1780","69","28","16","1450","2080"
2012,"Besançon - Franche-Comté","Besançon","Sciences, technologies et santé","Ensemble sciences, technologies et santé","30 mois après le diplôme",170,86,45,"89","93","80","96","1950","30400",32,"9.6","1760","72","68","34","1420","2060"
2012,"Bordeaux","Bordeaux","Droit, économie et gestion","Économie","30 mois après le diplôme",80,76,9,"86","85","77","97","1840","28700",28,"10","1710","50","59","48","1360","2030"
2012,"Bordeaux","Bordeaux","Sciences, technologies et santé","Informatique","30 mois après le diplôme",47,86,5,"87","100","95","100","1980","30800",28,"10","1710","92","25","10","1360","2030"
2012,"Bordeaux - Montaigne","Bordeaux","Lettres, langues, arts","Lettres, langues, arts","30 mois après le diplôme",91,81,30,"91","58","55","69","1510","23600",38,"10","1710","40","50","80","1360","2030"
2012,"Bordeaux - Montaigne","Bordeaux","Sciences humaines et sociales","Histoire-géographie","30 mois après le diplôme",38,70,13,"74","","","","","",38,"10","1710","","","68","1360","2030"
2012,"Bretagne-Sud","Rennes","Sciences, technologies et santé","Sciences de l'ingénieur","30 mois après le diplôme",83,84,34,"95","99","86","100","1950","30400",34,"9","1700","75","67","8","1380","2020"
2012,"Caen - Basse-Normandie","Caen","Sciences humaines et sociales","Histoire-géographie","30 mois après le diplôme",48,79,9,"79","79","47","92","1630","25500",26,"9.3","1720","38","60","58","1400","2010"
2012,"Caen - Basse-Normandie","Caen","Sciences humaines et sociales","Psychologie","30 mois après le diplôme",34,79,7,"91","94","65","74","","",26,"9.3","1720","90","48","97","1400","2010"
2012,"Caen - Basse-Normandie","Caen","Sciences, technologies et santé","Ensemble sciences, technologies et santé","30 mois après le diplôme",107,73,22,"92","89","77","93","1900","29600",26,"9.3","1720","71","67","34","1400","2010"
2012,"Caen - Basse-Normandie","Caen","Sciences, technologies et santé","Autres sciences, technologies et santé","30 mois après le diplôme",31,77,6,"100","","87","84","","",26,"9.3","1720","","67","22","1400","2010"
2012,"Cergy-Pontoise","Versailles","Droit, économie et gestion","Droit","30 mois après le diplôme",37,57,12,"97","97","83","100","2180","33900",16,"9","2020","82","19","81","1580","2530"
2012,"Limoges","Limoges","Masters enseignement","Masters enseignement","30 mois après le diplôme",45,67,100,"100","86","89","93","1700","26500",29,"9.3","1720","77","30","80","1390","1980"
2012,"Paris Ouest Nanterre La Défense","Versailles","Masters enseignement","Masters enseignement","30 mois après le diplôme",30,57,100,"100","96","100","90","","",24,"9","2020","79","5","86","1580","2530"
2012,"Paris René Descartes","Paris","Masters enseignement","Masters enseignement","30 mois après le diplôme",49,62,100,"94","96","91","98","1780","27800",25,"9","2020","89","6","84","1580","2530"
2012,"Saint-Etienne - Jean Monnet","Lyon","Masters enseignement","Masters enseignement","30 mois après le diplôme",83,83,100,"96","90","84","93","1680","26200",36,"8.9","1780","81","38","72","1430","2130"
